Entity,Code,Year,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized
Ecuador,ECU,2007,0.27327847,3.3585632,5.11025,0.9083995,0.25467345
Ecuador,ECU,2008,0.2738299,3.3539047,5.1175632,0.9083754,0.25663987
Ecuador,ECU,2009,0.27433988,3.3498144,5.1256685,0.90834725,0.2598128
Ecuador,ECU,2010,0.27468234,3.3468227,5.133518,0.9083132,0.2627543
Ecuador,ECU,2011,0.27494526,3.3436587,5.1464357,0.9082741,0.26569536
Ecuador,ECU,2012,0.27526292,3.341263,5.166718,0.90822977,0.26902258
Ecuador,ECU,2013,0.27557677,3.3393662,5.1889415,0.9081829,0.27231848
Ecuador,ECU,2014,0.27583277,3.3361611,5.2078395,0.9081343,0.27580678
Ecuador,ECU,2015,0.2759743,3.3338869,5.218065,0.90808165,0.27871346
Ecuador,ECU,2016,0.2758114,3.33239,5.2148705,0.90796834,0.28207183
Ecuador,ECU,2017,0.27560163,3.3310006,5.2097163,0.9078061,0.28394884
Ecuador,ECU,2018,0.27558616,3.3314188,5.215803,0.907703,0.28395268
Ecuador,ECU,2019,0.27563453,3.3306973,5.2311482,0.90765,0.2837155
Egypt,EGY,1990,0.24535134,3.7920954,4.415513,0.72433305,0.15812328
Egypt,EGY,1991,0.24536918,3.8196313,4.419191,0.7243617,0.1590892
Egypt,EGY,1992,0.24541242,3.8407712,4.4200096,0.72439533,0.159734
Egypt,EGY,1993,0.2454727,3.8577743,4.4185557,0.7244327,0.16051714
Egypt,EGY,1994,0.24554187,3.8671024,4.415509,0.7244746,0.16114584
Egypt,EGY,1995,0.24561276,3.8702178,4.4114027,0.72451586,0.1623022
Egypt,EGY,1996,0.24575405,3.8553162,4.356292,0.7245511,0.1631554
Egypt,EGY,1997,0.24599355,3.8207393,4.2314243,0.72457963,0.16436797
Egypt,EGY,1998,0.24626125,3.779099,4.083965,0.72460526,0.16615854
Egypt,EGY,1999,0.24648769,3.7450073,3.961074,0.7246296,0.16744646
Egypt,EGY,2000,0.24660341,3.7301762,3.9098616,0.72465265,0.16845532
Egypt,EGY,2001,0.24657656,3.7337484,3.9109635,0.7246746,0.16993871
Egypt,EGY,2002,0.24645925,3.7381115,3.9136815,0.7246954,0.17113276
Egypt,EGY,2003,0.24630849,3.7448118,3.917967,0.72471553,0.17227449
Egypt,EGY,2004,0.24618259,3.749454,3.9235525,0.7247318,0.17370944
Egypt,EGY,2005,0.24613982,3.753821,3.92999,0.72474134,0.17541373
Egypt,EGY,2006,0.24618915,3.7525122,3.989264,0.7247429,0.17688596
Egypt,EGY,2007,0.24628532,3.7464952,4.122379,0.7247357,0.17931707
Egypt,EGY,2008,0.24640469,3.742725,4.282255,0.72471803,0.18099098
Egypt,EGY,2009,0.24652363,3.7380831,4.4217134,0.72468776,0.18341842
Egypt,EGY,2010,0.24661826,3.737595,4.493589,0.72464406,0.18514201
Egypt,EGY,2011,0.24671397,3.7552204,4.5152283,0.7245893,0.18682568
Egypt,EGY,2012,0.24683838,3.7997007,4.534659,0.7245236,0.18861686
Egypt,EGY,2013,0.24696954,3.85238,4.5508595,0.724446,0.19059601
Egypt,EGY,2014,0.24708563,3.89728,4.5628824,0.72436,0.19202353
Egypt,EGY,2015,0.2471659,3.917347,4.569759,0.72426695,0.19393303
Egypt,EGY,2016,0.24723092,3.9158034,4.5637245,0.7241717,0.19560458
Egypt,EGY,2017,0.24729621,3.9134357,4.555389,0.7240791,0.19755909
Egypt,EGY,2018,0.24740069,3.9216802,4.5646315,0.72399354,0.19832063
Egypt,EGY,2019,0.2475693,3.9397578,4.5883927,0.72391546,0.19892646
El Salvador,SLV,1990,0.26284495,3.7105129,4.208307,0.823738,0.15580483
El Salvador,SLV,1991,0.26287833,3.7102919,4.21461,0.8239666,0.15678358
El Salvador,SLV,1992,0.26297304,3.707654,4.2204623,0.82419056,0.15766765
El Salvador,SLV,1993,0.26311058,3.7035732,4.22565,0.8244096,0.15885454
El Salvador,SLV,1994,0.2632715,3.6980116,4.2301545,0.8246401,0.16011198
El Salvador,SLV,1995,0.26343587,3.6920094,4.2338767,0.82487553,0.1612318
El Salvador,SLV,1996,0.26377052,3.6808152,4.2362294,0.825097,0.1624954
El Salvador,SLV,1997,0.26434267,3.662591,4.237323,0.82530123,0.1642793
El Salvador,SLV,1998,0.26498199,3.6410363,4.238374,0.8255096,0.16595158
El Salvador,SLV,1999,0.26552013,3.617932,4.239908,0.8257073,0.16760014
El Salvador,SLV,2000,0.26578897,3.598476,4.2425714,0.8258825,0.16874944
El Salvador,SLV,2001,0.26577896,3.5801768,4.247578,0.82603735,0.17037202
El Salvador,SLV,2002,0.26565054,3.5598838,4.2545786,0.8261616,0.17130834
El Salvador,SLV,2003,0.2654874,3.5396497,4.2628117,0.82626486,0.17237742
El Salvador,SLV,2004,0.2653725,3.520169,4.2714963,0.82636064,0.17384973
El Salvador,SLV,2005,0.2653899,3.5070453,4.2795415,0.8264432,0.17508735
El Salvador,SLV,2006,0.26573837,3.4916263,4.2905326,0.826508,0.17668656
El Salvador,SLV,2007,0.26641667,3.479851,4.3065796,0.8265507,0.17821002
El Salvador,SLV,2008,0.26720753,3.4672506,4.3245234,0.8265663,0.18078254
El Salvador,SLV,2009,0.26789296,3.4569325,4.341396,0.8265618,0.18218514
El Salvador,SLV,2010,0.26825663,3.4494622,4.35401,0.82653445,0.18388423
El Salvador,SLV,2011,0.26832733,3.4408638,4.364949,0.826486,0.18553731
El Salvador,SLV,2012,0.2683105,3.4341145,4.377914,0.8264442,0.18706387
El Salvador,SLV,2013,0.26825583,3.4246569,4.3909883,0.8264087,0.18815537
El Salvador,SLV,2014,0.26821285,3.4197683,4.4023585,0.8263723,0.18953082
El Salvador,SLV,2015,0.26823112,3.417986,4.410211,0.8263401,0.19112937
El Salvador,SLV,2016,0.26868227,3.4224303,4.412546,0.82627296,0.19365184
El Salvador,SLV,2017,0.2691212,3.4263573,4.412135,0.8261648,0.19585647
El Salvador,SLV,2018,0.2690208,3.421177,4.4114614,0.82604295,0.19693491
El Salvador,SLV,2019,0.26860753,3.4073691,4.4097867,0.8259098,0.19801193
Equatorial Guinea,GNQ,1990,0.20516652,6.070372,3.8571975,0.5533982,0.08591732
Equatorial Guinea,GNQ,1991,0.204977,6.0535936,3.8583043,0.5533918,0.08605491
Equatorial Guinea,GNQ,1992,0.2049487,6.039501,3.8593667,0.55338544,0.08651027
Equatorial Guinea,GNQ,1993,0.2050502,6.0234075,3.8603368,0.5533791,0.08675974
Equatorial Guinea,GNQ,1994,0.20524949,6.005497,3.8611953,0.55337304,0.08745269
Equatorial Guinea,GNQ,1995,0.20551366,5.990858,3.861971,0.553367,0.088338815
Equatorial Guinea,GNQ,1996,0.20639867,5.9727345,3.8624206,0.5533607,0.09169109
Equatorial Guinea,GNQ,1997,0.20822689,5.948312,3.862763,0.5533542,0.098615974
Equatorial Guinea,GNQ,1998,0.2106371,5.9226456,3.8627954,0.55334747,0.10836916
Equatorial Guinea,GNQ,1999,0.21326637,5.896633,3.8623435,0.5533406,0.11865598
Equatorial Guinea,GNQ,2000,0.21575135,5.8750057,3.861234,0.55333376,0.12889516
Equatorial Guinea,GNQ,2001,0.21839154,5.852683,3.8593378,0.5533267,0.140353
Equatorial Guinea,GNQ,2002,0.22146729,5.823823,3.8572462,0.55332,0.15328597
Equatorial Guinea,GNQ,2003,0.22460121,5.7962117,3.8548381,0.5533137,0.1665069
Equatorial Guinea,GNQ,2004,0.22741403,5.7732477,3.8520133,0.55330807,0.1787951
Equatorial Guinea,GNQ,2005,0.22952375,5.7566667,3.8486288,0.5533033,0.18911457
Equatorial Guinea,GNQ,2006,0.2311368,5.748321,3.843089,0.5532981,0.19711152
Equatorial Guinea,GNQ,2007,0.23265336,5.741433,3.8355663,0.5532941,0.20474298
Equatorial Guinea,GNQ,2008,0.23399498,5.736386,3.8274233,0.55329156,0.21116018
Equatorial Guinea,GNQ,2009,0.23508522,5.733987,3.8199673,0.5532907,0.21646173
Equatorial Guinea,GNQ,2010,0.23584801,5.7302837,3.8145404,0.5532916,0.22007354
Equatorial Guinea,GNQ,2011,0.23642676,5.7284126,3.8119006,0.5532922,0.22239044
Equatorial Guinea,GNQ,2012,0.23697858,5.733943,3.8118012,0.5532946,0.22490406
Equatorial Guinea,GNQ,2013,0.23745693,5.74222,3.813075,0.5532984,0.2263201
Equatorial Guinea,GNQ,2014,0.23781672,5.742978,3.814496,0.55330384,0.22770476
Equatorial Guinea,GNQ,2015,0.23801424,5.740454,3.8147438,0.5533111,0.2271708
Equatorial Guinea,GNQ,2016,0.23776235,5.718295,3.8198767,0.5533188,0.22544245
Equatorial Guinea,GNQ,2017,0.23731588,5.6962605,3.824424,0.55332834,0.221316
Equatorial Guinea,GNQ,2018,0.23680453,5.70215,3.8181841,0.55333936,0.21704927
Equatorial Guinea,GNQ,2019,0.23602559,5.728945,3.80493,0.55335176,0.21130088
Eritrea,ERI,1990,0.20227635,5.0402017,3.689315,0.58419204,0.07388844
Eritrea,ERI,1991,0.202727,5.0273757,3.6862535,0.5841915,0.07510222
Eritrea,ERI,1992,0.20320296,5.0161815,3.6829507,0.5841837,0.076555565
Eritrea,ERI,1993,0.20367968,5.0047054,3.6798844,0.5841744,0.077938735
Eritrea,ERI,1994,0.20413412,4.9921336,3.6776187,0.5841669,0.07921698
Eritrea,ERI,1995,0.20454511,4.9815865,3.6763332,0.584162,0.08063018
Eritrea,ERI,1996,0.20506677,4.9708333,3.675909,0.58415866,0.08245057
Eritrea,ERI,1997,0.2057751,4.9557786,3.6758628,0.584155,0.08427628
Eritrea,ERI,1998,0.20653066,4.93912,3.6759815,0.58415145,0.08585374
Eritrea,ERI,1999,0.20718935,4.9253573,3.67687,0.5841578,0.08714463
Eritrea,ERI,2000,0.2076205,4.9171352,3.6774037,0.58416307,0.08776607
Eritrea,ERI,2001,0.207987,4.9123693,3.676427,0.58415776,0.08813842
Eritrea,ERI,2002,0.20845823,4.905985,3.674821,0.5841514,0.088157415
Eritrea,ERI,2003,0.20892282,4.898231,3.6730168,0.58414525,0.08801235
Eritrea,ERI,2004,0.20926832,4.89391,3.6713452,0.5841397,0.08804749
Eritrea,ERI,2005,0.20938109,4.8878064,3.6700077,0.5841337,0.08804459
Eritrea,ERI,2006,0.20908643,4.878631,3.6678288,0.58412784,0.08734245
Eritrea,ERI,2007,0.20843552,4.8690014,3.6642106,0.58412194,0.08630855
Eritrea,ERI,2008,0.20765334,4.8578396,3.6603744,0.58411616,0.08543334
Eritrea,ERI,2009,0.20696646,4.8473525,3.6575491,0.5841107,0.084697664
Eritrea,ERI,2010,0.20660289,4.8428955,3.65686,0.5841046,0.08407813
Eritrea,ERI,2011,0.20649703,4.841566,3.662064,0.58409834,0.084012344
Eritrea,ERI,2012,0.20642547,4.842037,3.6736484,0.58409214,0.08442491
Eritrea,ERI,2013,0.20638005,4.843249,3.6879861,0.584086,0.08470008
Eritrea,ERI,2014,0.2063528,4.8431463,3.70147,0.58408,0.08515955
Eritrea,ERI,2015,0.20633584,4.842769,3.7103555,0.5840735,0.08556375
Eritrea,ERI,2016,0.20629191,4.8444085,3.720314,0.5840667,0.08611392
Eritrea,ERI,2017,0.206343,4.8429346,3.7287211,0.5840599,0.08673411
Eritrea,ERI,2018,0.20672967,4.841596,3.731432,0.58405334,0.08749881
Eritrea,ERI,2019,0.20744848,4.841218,3.7323155,0.584047,0.087786816
Estonia,EST,1990,0.28100607,4.681627,3.425218,0.5241366,0.14155334
Estonia,EST,1991,0.28052524,4.66272,3.4248807,0.5241259,0.13943045
Estonia,EST,1992,0.28015774,4.6491613,3.4252067,0.5241468,0.13747504
Estonia,EST,1993,0.2799016,4.6397185,3.4261088,0.5242026,0.13620551
Estonia,EST,1994,0.27976578,4.6321573,3.4269724,0.52426034,0.13558462
Estonia,EST,1995,0.27974793,4.6282387,3.42738,0.52430564,0.13526359
Estonia,EST,1996,0.27991974,4.6284976,3.4269965,0.524318,0.13522765
Estonia,EST,1997,0.2802942,4.6310782,3.425532,0.52428,0.13594177
Estonia,EST,1998,0.28077754,4.6337795,3.4233758,0.52421737,0.13628809
Estonia,EST,1999,0.2812836,4.62719,3.4204571,0.52411395,0.13643573
Estonia,EST,2000,0.28172174,4.6110983,3.416991,0.52398723,0.13708341
Estonia,EST,2001,0.28223783,4.5676255,3.4137337,0.5238947,0.13858351
Estonia,EST,2002,0.28296098,4.4947023,3.4104583,0.5238303,0.14106695
Estonia,EST,2003,0.28374738,4.407701,3.407465,0.5237933,0.14465371
Estonia,EST,2004,0.28446034,4.3175564,3.4052083,0.52376205,0.14805767
Estonia,EST,2005,0.2849605,4.2373924,3.4041467,0.5237266,0.15092017
Estonia,EST,2006,0.28533807,4.164343,3.404995,0.52368826,0.15334122
Estonia,EST,2007,0.28575814,4.0846796,3.4073093,0.5236415,0.15566118
Estonia,EST,2008,0.28618062,4.006606,3.4099624,0.52359354,0.15787074
Estonia,EST,2009,0.2865744,3.935889,3.411831,0.523532,0.15981692
Estonia,EST,2010,0.28690344,3.8816798,3.4118257,0.5234608,0.16171196
Estonia,EST,2011,0.28728718,3.834866,3.4097662,0.52339095,0.16400343
Estonia,EST,2012,0.2878109,3.7865093,3.4063754,0.52331436,0.16490607
Estonia,EST,2013,0.28837815,3.7444758,3.4024174,0.5232407,0.16666701
Estonia,EST,2014,0.2888969,3.7084172,3.3984056,0.52316594,0.16834277
Estonia,EST,2015,0.28927213,3.6881266,3.3946989,0.52308995,0.1695642
Estonia,EST,2016,0.2893697,3.6808605,3.3828745,0.523013,0.1709759
Estonia,EST,2017,0.28939393,3.678187,3.3711312,0.5229302,0.17214932
Estonia,EST,2018,0.28964895,3.6818743,3.3715444,0.5228586,0.17358734
Estonia,EST,2019,0.29009965,3.6936426,3.3788164,0.5227906,0.1751613
Eswatini,SWZ,1990,0.21157049,4.1506805,3.4900844,0.5344953,0.13093762
Eswatini,SWZ,1991,0.21230882,4.1615005,3.4916542,0.534495,0.1327172
Eswatini,SWZ,1992,0.21298957,4.1728907,3.4935052,0.5344971,0.13436188
Eswatini,SWZ,1993,0.21357574,4.1833773,3.4954438,0.53450096,0.13548256
Eswatini,SWZ,1994,0.21402954,4.191822,3.497338,0.5345071,0.13673443
Eswatini,SWZ,1995,0.21431358,4.2011604,3.4990547,0.53451556,0.13727488
Eswatini,SWZ,1996,0.21451524,4.2148724,3.501698,0.5345255,0.13769872
Eswatini,SWZ,1997,0.21472855,4.237909,3.5057967,0.5345379,0.13834079
Eswatini,SWZ,1998,0.21492854,4.267101,3.510245,0.5345513,0.13887379
Eswatini,SWZ,1999,0.21508737,4.2937217,3.5139997,0.5345656,0.138971
Eswatini,SWZ,2000,0.2151769,4.3135333,3.515982,0.5345802,0.13927065
Eswatini,SWZ,2001,0.21519789,4.330367,3.5162475,0.5345941,0.13967492
Eswatini,SWZ,2002,0.21518669,4.3543863,3.515696,0.53460866,0.13981552
Eswatini,SWZ,2003,0.21516682,4.3743014,3.5145679,0.53462267,0.14020883
Eswatini,SWZ,2004,0.21516131,4.394624,3.5131428,0.5346363,0.14021619
Eswatini,SWZ,2005,0.21519464,4.407511,3.5115721,0.53464854,0.14065397
Eswatini,SWZ,2006,0.21532907,4.418581,3.5081804,0.53465796,0.14103413
Eswatini,SWZ,2007,0.21556371,4.4276385,3.5024881,0.534666,0.14202502
Eswatini,SWZ,2008,0.21583033,4.435921,3.496348,0.5346731,0.14307266
Eswatini,SWZ,2009,0.21606545,4.443495,3.4914153,0.53467935,0.14394149
Eswatini,SWZ,2010,0.21620734,4.448823,3.4892519,0.53468394,0.14512868
Eswatini,SWZ,2011,0.21627624,4.45059,3.491441,0.5346864,0.14578654
Eswatini,SWZ,2012,0.21633963,4.445789,3.4973028,0.53468716,0.14657716
Eswatini,SWZ,2013,0.21640523,4.441679,3.5049777,0.5346864,0.14780019
Eswatini,SWZ,2014,0.21648091,4.4355483,3.5126197,0.53468364,0.14842162
Eswatini,SWZ,2015,0.21657342,4.434091,3.5184844,0.53467923,0.1496626
Eswatini,SWZ,2016,0.21702676,4.4373055,3.5268881,0.53467375,0.15063074
Eswatini,SWZ,2017,0.21749213,4.440998,3.5317113,0.53466743,0.15075812
Eswatini,SWZ,2018,0.21761452,4.4340963,3.5194218,0.5346607,0.15053543
Eswatini,SWZ,2019,0.21762118,4.4255295,3.4919646,0.5346536,0.1505392
Ethiopia,ETH,1990,0.20696785,5.0882583,3.6354716,0.61444575,0.066992156
Ethiopia,ETH,1991,0.20669033,5.0632734,3.619509,0.6144346,0.066070184
Ethiopia,ETH,1992,0.20644082,5.0424767,3.605337,0.61442643,0.06523281
Ethiopia,ETH,1993,0.2062369,5.025427,3.5929658,0.614416,0.0644654
Ethiopia,ETH,1994,0.20608757,5.009733,3.5836844,0.6144079,0.06379832
Ethiopia,ETH,1995,0.20600729,4.9973135,3.5783796,0.6144078,0.063301764
Ethiopia,ETH,1996,0.20593841,4.993784,3.5775597,0.6144081,0.06277678
Ethiopia,ETH,1997,0.20584986,5.0003576,3.5787375,0.6144121,0.062300768
Ethiopia,ETH,1998,0.20576341,5.0087676,3.5806053,0.6144186,0.06173088
Ethiopia,ETH,1999,0.2057021,5.011874,3.5819337,0.614427,0.061396994
Ethiopia,ETH,2000,0.20569283,5.0026884,3.5812752,0.6144366,0.061299767
Ethiopia,ETH,2001,0.20583056,4.9835253,3.5573254,0.6144477,0.061226513
Ethiopia,ETH,2002,0.20613389,4.9618464,3.5025194,0.61445737,0.061414365
Ethiopia,ETH,2003,0.20650376,4.9383965,3.4374504,0.6144657,0.061734296
Ethiopia,ETH,2004,0.2068425,4.916278,3.3823419,0.61447155,0.06199897
Ethiopia,ETH,2005,0.20705418,4.8939867,3.3572843,0.61447346,0.062395517
Ethiopia,ETH,2006,0.20722313,4.868833,3.3542306,0.6144762,0.06295701
Ethiopia,ETH,2007,0.20747907,4.8373013,3.3511665,0.6144763,0.0640748
Ethiopia,ETH,2008,0.20778911,4.8023415,3.34894,0.61447364,0.06524574
Ethiopia,ETH,2009,0.20812076,4.7703795,3.3483293,0.61446786,0.06650283
Ethiopia,ETH,2010,0.20844227,4.7429996,3.3500054,0.61445826,0.067813896
Ethiopia,ETH,2011,0.20885912,4.7149568,3.3588135,0.6144506,0.06929941
Ethiopia,ETH,2012,0.2094343,4.679165,3.3754265,0.6144415,0.071328856
Ethiopia,ETH,2013,0.21007076,4.643137,3.3958046,0.61443156,0.07344195
Ethiopia,ETH,2014,0.21066985,4.6169233,3.415956,0.61442125,0.07559467
Ethiopia,ETH,2015,0.2111335,4.6068287,3.4316795,0.6144103,0.0777818
Ethiopia,ETH,2016,0.2116415,4.616854,3.449894,0.61440104,0.08039639
Ethiopia,ETH,2017,0.2121426,4.6273665,3.464343,0.6143923,0.08291164
Ethiopia,ETH,2018,0.2126634,4.6360044,3.4678712,0.6143841,0.08461001
Ethiopia,ETH,2019,0.21338312,4.64972,3.4656384,0.6143768,0.086156204
Europe (IHME GBD),,1990,0.27685905,3.6706705,4.4007916,0.72438604,0.27100173
Europe (IHME GBD),,1991,0.27659193,3.6603432,4.395434,0.7242674,0.27101284
Europe (IHME GBD),,1992,0.2763143,3.6508627,4.389711,0.7241101,0.27098155
Europe (IHME GBD),,1993,0.27607065,3.64237,4.3835554,0.7239516,0.27085727
Europe (IHME GBD),,1994,0.27586713,3.6357381,4.377351,0.723963,0.27060118
Europe (IHME GBD),,1995,0.27570406,3.6312757,4.371487,0.72416955,0.27028146
Europe (IHME GBD),,1996,0.2755336,3.6301,4.365066,0.7243301,0.2701512
Europe (IHME GBD),,1997,0.2753299,3.6328275,4.3588343,0.72430784,0.270195
Europe (IHME GBD),,1998,0.2751404,3.6362674,4.3541346,0.72426015,0.27049145
Europe (IHME GBD),,1999,0.27500188,3.6385713,4.3516507,0.7243655,0.2713072
Europe (IHME GBD),,2000,0.27495095,3.6370144,4.3523316,0.7246847,0.27241546
Europe (IHME GBD),,2001,0.27496648,3.6287568,4.356478,0.72536767,0.2742558
Europe (IHME GBD),,2002,0.27500916,3.6149921,4.363762,0.7263846,0.27682054
Europe (IHME GBD),,2003,0.27507806,3.598339,4.373546,0.7276744,0.27977535
Europe (IHME GBD),,2004,0.27516884,3.5820675,4.3851075,0.72904205,0.2828641
Europe (IHME GBD),,2005,0.27527392,3.5691898,4.397513,0.73022175,0.28556597
Europe (IHME GBD),,2006,0.27542916,3.5610254,4.4180555,0.7311914,0.2884975
Europe (IHME GBD),,2007,0.2756484,3.5559568,4.449878,0.7321368,0.2919832
Europe (IHME GBD),,2008,0.2758889,3.5542705,4.485411,0.7331915,0.29577044
Europe (IHME GBD),,2009,0.27611682,3.553865,4.517135,0.734295,0.29929963
Europe (IHME GBD),,2010,0.27629328,3.5533965,4.5371704,0.73542315,0.3022481
Europe (IHME GBD),,2011,0.2765488,3.5526135,4.550123,0.7365389,0.30488577
Europe (IHME GBD),,2012,0.27695933,3.5508556,4.564322,0.73754376,0.30720708
Europe (IHME GBD),,2013,0.2774068,3.5482662,4.57789,0.7385037,0.30952078
Europe (IHME GBD),,2014,0.27778283,3.546718,4.5892353,0.73946935,0.31171626
Europe (IHME GBD),,2015,0.27797478,3.546587,4.596085,0.7404078,0.3140306
Europe (IHME GBD),,2016,0.27807897,3.5427897,4.5913353,0.7412512,0.31757072
Europe (IHME GBD),,2017,0.2781013,3.5371735,4.5844975,0.7418994,0.32058457
Europe (IHME GBD),,2018,0.27734905,3.5381575,4.577611,0.7423811,0.3225034
Europe (IHME GBD),,2019,0.2757307,3.5443268,4.5646415,0.7428389,0.32406414
European Union (27),,1990,0.27728134,3.725058,5.0050573,0.8143038,0.3463342
European Union (27),,1991,0.2771077,3.6986022,5.0011683,0.81397307,0.3477558
European Union (27),,1992,0.27696094,3.6749907,4.9969993,0.8136768,0.34901822
European Union (27),,1993,0.27685505,3.6551414,4.9921117,0.8134901,0.35042933
European Union (27),,1994,0.27678534,3.6401043,4.9857593,0.8134173,0.35161993
European Union (27),,1995,0.27674773,3.630819,4.977978,0.81341976,0.35255292
European Union (27),,1996,0.2767525,3.6291878,4.9679637,0.813472,0.35374868
European Union (27),,1997,0.27680448,3.634868,4.9564757,0.81355876,0.35503507
European Union (27),,1998,0.2768853,3.642911,4.945492,0.8137328,0.35657442
European Union (27),,1999,0.27697098,3.6491427,4.9367094,0.813962,0.35842595
European Union (27),,2000,0.27704063,3.6495128,4.9324512,0.8142284,0.36040264
European Union (27),,2001,0.27707878,3.6408768,4.933086,0.8149915,0.36321157
European Union (27),,2002,0.27709883,3.6247737,4.9375286,0.8163968,0.36707777
European Union (27),,2003,0.27711627,3.6054518,4.9450846,0.8181154,0.3713024
European Union (27),,2004,0.27715245,3.587303,4.954928,0.81973225,0.3754174
European Union (27),,2005,0.27721837,3.5747578,4.96655,0.8208201,0.3788312
European Union (27),,2006,0.27732491,3.5721512,4.9907336,0.8215578,0.38193128
European Union (27),,2007,0.27745906,3.5780063,5.0318336,0.82234687,0.38513735
European Union (27),,2008,0.27759385,3.5898798,5.078652,0.823203,0.38838235
European Union (27),,2009,0.27772003,3.6016078,5.119985,0.8240937,0.39120457
European Union (27),,2010,0.27782178,3.608386,5.1444182,0.82496655,0.3935519
European Union (27),,2011,0.27805576,3.608325,5.1589575,0.82583547,0.39565927
European Union (27),,2012,0.27849084,3.6031435,5.1761756,0.8266305,0.39742124
European Union (27),,2013,0.2789921,3.5950396,5.1929975,0.82732517,0.39904457
European Union (27),,2014,0.27942643,3.58908,5.206661,0.82792765,0.40058085
European Union (27),,2015,0.27965105,3.5878563,5.214255,0.82844853,0.40246058
European Union (27),,2016,0.27989194,3.5901577,5.2075443,0.828909,0.4058884
European Union (27),,2017,0.28005883,3.5917804,5.199155,0.8292933,0.40893516
European Union (27),,2018,0.27889383,3.5992537,5.186905,0.8296842,0.4107049
European Union (27),,2019,0.2762679,3.6144438,5.161444,0.83010626,0.41242015
Fiji,FJI,1990,0.28966227,2.9046881,3.9277658,0.27495325,0.0922909
Fiji,FJI,1991,0.29041672,2.9072032,3.93459,0.27493578,0.092958614
Fiji,FJI,1992,0.29103017,2.910536,3.9408925,0.27491683,0.093264066
Fiji,FJI,1993,0.29149207,2.913581,3.946284,0.27489254,0.0935526
Fiji,FJI,1994,0.29178905,2.9156506,3.9504287,0.27486676,0.093964666
Fiji,FJI,1995,0.2919073,2.9173677,3.9530272,0.2748412,0.09384881
Fiji,FJI,1996,0.29174128,2.9194782,3.954673,0.27481708,0.09432318
Fiji,FJI,1997,0.29130578,2.9227848,3.9562213,0.27479523,0.094665654
Fiji,FJI,1998,0.29078364,2.9248822,3.957364,0.2747749,0.09471092
Fiji,FJI,1999,0.2903519,2.9274561,3.9581168,0.2747558,0.0950922
Fiji,FJI,2000,0.2901895,2.92817,3.9584436,0.2747353,0.09526114
Fiji,FJI,2001,0.29055995,2.9274092,3.9567618,0.27471983,0.09533041
Fiji,FJI,2002,0.29140016,2.9268856,3.9529135,0.27470747,0.0960219
Fiji,FJI,2003,0.2924089,2.9262109,3.9483907,0.2746998,0.09638096
Fiji,FJI,2004,0.29327795,2.923933,3.9448588,0.27469483,0.096520506
Fiji,FJI,2005,0.2936998,2.9224553,3.9441023,0.27468702,0.09697236
Fiji,FJI,2006,0.29376993,2.9197538,3.9479244,0.27468732,0.09714644
Fiji,FJI,2007,0.29379845,2.9156234,3.9558196,0.27468842,0.09743924
Fiji,FJI,2008,0.29379907,2.9101975,3.965485,0.2746926,0.09770518
Fiji,FJI,2009,0.29378626,2.9058812,3.9747372,0.27469674,0.097724386
Fiji,FJI,2010,0.29376987,2.902426,3.9819524,0.27469185,0.09829724
Fiji,FJI,2011,0.2937325,2.9016244,3.9901268,0.27469158,0.098145485
Fiji,FJI,2012,0.29366904,2.8993142,4.001814,0.27468958,0.098984
Fiji,FJI,2013,0.29359832,2.8998578,4.014303,0.2746855,0.099794894
Fiji,FJI,2014,0.29354057,2.8994393,4.0248246,0.27467832,0.10065422
Fiji,FJI,2015,0.29351497,2.899448,4.0307055,0.27466592,0.10147748
Fiji,FJI,2016,0.29382822,2.9000325,4.0257387,0.27465728,0.102565765
Fiji,FJI,2017,0.29408884,2.8999836,4.020215,0.2746492,0.103850216
Fiji,FJI,2018,0.29366568,2.9065719,4.0261126,0.2746417,0.10461819
Fiji,FJI,2019,0.2926791,2.917755,4.039825,0.274635,0.105710186
Finland,FIN,1990,0.26435456,4.936905,4.2782755,0.90619844,0.43180138
Finland,FIN,1991,0.26388997,4.8717923,4.1376133,0.90611815,0.43153802
Finland,FIN,1992,0.26351345,4.822925,4.006899,0.9060398,0.4311125
Finland,FIN,1993,0.26322758,4.789182,3.8940063,0.90595686,0.43150133
Finland,FIN,1994,0.26303884,4.768051,3.806989,0.90588534,0.43235368
Finland,FIN,1995,0.26295134,4.7582684,3.7537785,0.9058067,0.43289095
Finland,FIN,1996,0.263022,4.7752705,3.7163343,0.9057429,0.435306
Finland,FIN,1997,0.26324213,4.8267975,3.675773,0.9056886,0.4392004
Finland,FIN,1998,0.26351726,4.889436,3.6385448,0.905633,0.4436187
Finland,FIN,1999,0.26375186,4.9381833,3.6112237,0.9055888,0.44972774
Finland,FIN,2000,0.26385576,4.9543214,3.6003253,0.9055299,0.45447105
Finland,FIN,2001,0.2637775,4.903719,3.602006,0.90401727,0.46041888
Finland,FIN,2002,0.26358354,4.7985764,3.6073613,0.90050334,0.46762928
Finland,FIN,2003,0.26335195,4.672733,3.615029,0.8963184,0.47473732
